Duca di Salaparuta;Sentiero del Vento Vermentino 2020;3,9;25 Voti;Italia·Terre Siciliane·Duca di Salaparuta·Vino bianco·Vermentino;€12;[('Leggero-Strutturato', '53.5889%'), ('Secco-Dolce', '16.7097%'), ('Piatto-Acidulo', '44.0389%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('agrume', 5), ('Erbaceo', 4), ('albero da frutta', 4)]
Piovene Porto Godi;Vigneto Fostine Sauvignon 2015;3,8;38 Voti;Italia·Veneto·Piovene Porto Godi·Vino bianco·Sauvignon Blanc;€10,10;[('Leggero-Strutturato', '65.7193%'), ('Secco-Dolce', '17.5676%'), ('Piatto-Acidulo', '55.5523%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('agrume', 5), ('Erbaceo', 4), ('albero da frutta', 1)]
Venica & Venica;Talis Pinot Bianco 2019;3,9;56 Voti;Italia·Collio·Venica & Venica·Vino bianco·Pinot Blanc;€20,50;[('Leggero-Strutturato', '42.7885%'), ('Secco-Dolce', '0px'), ('Piatto-Acidulo', '60.0355%')];Pesce grasso (salmone, tonno, ecc.) / Frutti di mare / Formaggio dolce e a pasta molle;[('albero da frutta', 25), ('agrume', 13), ('vegetale', 8)]
Montresor;Soave Classico 2020;3,7;192 Voti;Italia·Soave Classico·Montresor·Vino bianco·Garganega;€7,90;[('Leggero-Strutturato', '29.2441%'), ('Secco-Dolce', '0px'), ('Piatto-Acidulo', '58.8401%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('albero da frutta', 216), ('agrume', 129), ('Erbaceo', 66)]
Ronchi di Cialla;Picolit di Cialla 2011;4,5;36 Voti;Italia·Colli Orientali del Friuli·Ronchi di Cialla·Vino bianco·Picolit;€59,20;[('Leggero-Strutturato', '68.9699%'), ('Secco-Dolce', '53.9394%'), ('Piatto-Acidulo', '44.9053%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('Erbaceo', 11), ('legno', 6), ('agrume', 5)]
Villa Raiano;Alimata Fiano di Avellino 2017;4,0;32 Voti;Italia·Fiano de Avellino·Villa Raiano·Vino bianco·Fiano;€16,50;[('Leggero-Strutturato', '62.261%'), ('Secco-Dolce', '1.82082%'), ('Piatto-Acidulo', '37.667%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('albero da frutta', 30), ('Erbaceo', 19), ('agrume', 18)]
Livon;Mandítocai Friulano 2018;4,0;54 Voti;Italia·Collio·Livon·Vino bianco·Tocai Friulano;€23,50;[('Leggero-Strutturato', '69.2129%'), ('Secco-Dolce', '28.9054%'), ('Piatto-Acidulo', '47.5919%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 29), ('legno', 28), ('Erbaceo', 23)]
Antinori;Castello della Sala Conte della Vipera 2021;4,2;42 Voti;Italia·Umbria·Antinori·Vino bianco·Chardonnay;€21,50;[('Leggero-Strutturato', '44.1382%'), ('Secco-Dolce', '21.639%'), ('Piatto-Acidulo', '64.3347%')];Pasta / Vegetariano / Antipasti e spuntini;[('agrume', 271), ('albero da frutta', 198), ('Erbaceo', 124)]
Kellerei . Cantina KALTERN;Gewürztraminer Campaner 2020;4,3;88 Voti;Italia·Südtirol - Alto Adige·Kellerei . Cantina KALTERN·Vino bianco·Gewürztraminer;€15;[('Leggero-Strutturato', '69.242%'), ('Secco-Dolce', '33.4856%'), ('Piatto-Acidulo', '33.1007%')];Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;[('nota tropicale', 25), ('Erbaceo', 8), ('albero da frutta', 8)]
Marco de Bartoli;Integer Grillo 2019;3,9;71 Voti;Italia·Sicilia·Marco de Bartoli·Vino bianco·Grillo;€22,95;[('Leggero-Strutturato', '64.9303%'), ('Secco-Dolce', '11.6239%'), ('Piatto-Acidulo', '38.7989%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('agrume', 51), ('Erbaceo', 28), ('albero da frutta', 28)]
Livio Felluga;Illivio 2018;4,2;263 Voti;Italia·Colli Orientali del Friuli·Livio Felluga·Vino bianco·Miscela;€28;[('Leggero-Strutturato', '59.7321%'), ('Secco-Dolce', '29.0735%'), ('Piatto-Acidulo', '44.6743%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('legno', 82), ('albero da frutta', 66), ('Erbaceo', 44)]
Schiopetto;Collio Friulano 2018;3,8;353 Voti;Italia·Collio·Schiopetto·Vino bianco·Friulano;€17;[('Leggero-Strutturato', '60.6646%'), ('Secco-Dolce', '20.8459%'), ('Piatto-Acidulo', '50.6834%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 199), ('Erbaceo', 111), ('agrume', 83)]
Kante;Malvasia 2019;4,0;26 Voti;Italia·Carso·Kante·Vino bianco·Malvasia;€18,90;[('Leggero-Strutturato', '59.2333%'), ('Secco-Dolce', '20.6054%'), ('Piatto-Acidulo', '49.93%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('Erbaceo', 26), ('albero da frutta', 25), ('agrume', 18)]
Maria Pia Castelli;Stella Flora 2015;4,2;67 Voti;Italia·Marche·Maria Pia Castelli·Vino bianco·Miscela;€44,90;[('Leggero-Strutturato', '54.4514%'), ('Secco-Dolce', '23.7494%'), ('Piatto-Acidulo', '58.7877%')];Pasta / Vegetariano / Antipasti e spuntini;[('agrume', 39), ('Erbaceo', 26), ('legno', 25)]
Melini;Le Grillaie Vernaccia di San Gimignano 2019;3,7;134 Voti;Italia·Vernaccia di San Gimignano·Melini·Vino bianco·Vernaccia di San Gimignano;€10,55;[('Leggero-Strutturato', '39.2147%'), ('Secco-Dolce', '27.6127%'), ('Piatto-Acidulo', '66.1611%')];Pasta / Vegetariano / Antipasti e spuntini;[('albero da frutta', 20), ('agrume', 15), ('Erbaceo', 14)]
Ca' Bolani;Pinot Grigio 2020;3,8;62 Voti;Italia·Friuli Aquileia·Ca' Bolani·Vino bianco·Pinot Grigio;€10,80;[('Leggero-Strutturato', '42.0904%'), ('Secco-Dolce', '12.3389%'), ('Piatto-Acidulo', '39.1918%')];Frutti di mare / Vegetariano / Funghi;[('albero da frutta', 127), ('agrume', 78), ('Erbaceo', 53)]
Collavini;Villa Canlungo Black Label Pinot Grigio 2020;3,7;141 Voti;Italia·Rosazzo·Collavini·Vino bianco·Pinot Gris;€11,90;[('Leggero-Strutturato', '39.5512%'), ('Secco-Dolce', '12.2537%'), ('Piatto-Acidulo', '39.8654%')];Frutti di mare / Vegetariano / Funghi;[('albero da frutta', 122), ('agrume', 95), ('Erbaceo', 43)]
H. Lun;Müller Thurgau '1840' 2020;3,9;25 Voti;Italia·Südtirol - Alto Adige·H. Lun·Vino bianco·Müller-Thurgau;€9,70;[('Leggero-Strutturato', '37.1126%'), ('Secco-Dolce', '19.1419%'), ('Piatto-Acidulo', '33.714%')];Frutti di mare / Cibi speziati / Vegetariano;[('albero da frutta', 2), ('Erbaceo', 2), ('agrume', 1)]
Baglio di Pianetto;Ficiligno Viognier - Inzolia 2019;3,8;75 Voti;Italia·Terre Siciliane·Baglio di Pianetto·Vino bianco·Viognier;€11,10;[('Leggero-Strutturato', '62.7974%'), ('Secco-Dolce', '2.21545%'), ('Piatto-Acidulo', '40.1071%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('albero da frutta', 48), ('nota tropicale', 33), ('Erbaceo', 28)]
Lo Triolet;Pinot Gris 2017;3,9;63 Voti;Italia·Valle d'Aosta·Lo Triolet·Vino bianco·Pinot Grigio;€31,70;[('Leggero-Strutturato', '48.1792%'), ('Secco-Dolce', '16.0765%'), ('Piatto-Acidulo', '42.6918%')];Frutti di mare / Vegetariano / Funghi;[('albero da frutta', 22), ('agrume', 17), ('Erbaceo', 11)]
San Marzano;Talò Fiano 2020;4,0;126 Voti;Italia·Salento·San Marzano·Vino bianco·Fiano;€9,70;[('Leggero-Strutturato', '54.7282%'), ('Secco-Dolce', '14.7673%'), ('Piatto-Acidulo', '37.9015%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('albero da frutta', 81), ('nota tropicale', 40), ('Erbaceo', 29)]
Umani Ronchi;Plenio Verdicchio dei Castelli di Jesi Classico Riserva 2019;3,9;29 Voti;Italia·Verdicchio dei Castelli di Jesi·Umani Ronchi·Vino bianco·Verdicchio;€18,90;[('Leggero-Strutturato', '51.6383%'), ('Secco-Dolce', '27.898%'), ('Piatto-Acidulo', '61.7069%')];Pasta / Vegetariano / Antipasti e spuntini;[('albero da frutta', 87), ('legno', 77), ('Erbaceo', 43)]
Feudi di San Gregorio;Campanaro 2019;4,1;47 Voti;Italia·Irpinia·Feudi di San Gregorio·Vino bianco·Miscela;€24,50;[('Leggero-Strutturato', '57.78%'), ('Secco-Dolce', '11.3465%'), ('Piatto-Acidulo', '42.5316%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('agrume', 48), ('Erbaceo', 40), ('albero da frutta', 27)]
Pratello;Catulliano Lugana 2020;3,7;301 Voti;Italia·Lugana·Pratello·Vino bianco·Verdicchio;€8,79;[('Leggero-Strutturato', '56.8887%'), ('Secco-Dolce', '26.7723%'), ('Piatto-Acidulo', '50.3791%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 116), ('agrume', 80), ('Erbaceo', 56)]
Manincor;Le Petit 2016;4,4;48 Voti;Italia·Südtirol - Alto Adige·Manincor·Vino bianco·Petit Manseng;€51,90;[('Leggero-Strutturato', '68.9296%'), ('Secco-Dolce', '59.7167%'), ('Piatto-Acidulo', '47.1901%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('Erbaceo', 13), ('albero da frutta', 13), ('frutta secca', 7)]
La Tunella;Rjgialla 2021;3,9;42 Voti;Italia·Colli Orientali del Friuli·La Tunella·Vino bianco·Ribolla Gialla;€14,80;[('Leggero-Strutturato', '56.6647%'), ('Secco-Dolce', '26.2578%'), ('Piatto-Acidulo', '49.8195%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 62), ('agrume', 39), ('Erbaceo', 38)]
Tiefenbrunner;AU Chardonnay 2016;4,1;32 Voti;Italia·Südtirol - Alto Adige·Tiefenbrunner·Vino bianco·Müller-Thurgau;€75,80;[('Leggero-Strutturato', '64.8882%'), ('Secco-Dolce', '20.63%'), ('Piatto-Acidulo', '45.9055%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('legno', 12), ('Invecchiamento', 4), ('albero da frutta', 4)]
Giacosa Fratelli;Roero Arneis 2019;3,7;79 Voti;Italia·Roero·Giacosa Fratelli·Vino bianco·Arneis;€9,90;[('Leggero-Strutturato', '60.2681%'), ('Secco-Dolce', '25.0587%'), ('Piatto-Acidulo', '47.0688%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 50), ('agrume', 24), ('Erbaceo', 15)]
COS;Zibibbo in Pithos 2020;3,8;31 Voti;Italia·Terre Siciliane·COS·Vino bianco·Muscat Blanc;€24,90;[('Leggero-Strutturato', '61.8538%'), ('Secco-Dolce', '13.5671%'), ('Piatto-Acidulo', '28.1737%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('agrume', 122), ('Erbaceo', 106), ('albero da frutta', 98)]
Michele Satta;Bolgheri Costa di Giulia 2018;3,7;139 Voti;Italia·Costa Toscana·Michele Satta·Vino bianco·Vermentino;€16,80;[('Leggero-Strutturato', '43.5616%'), ('Secco-Dolce', '20.0716%'), ('Piatto-Acidulo', '59.5477%')];Pasta / Vegetariano / Antipasti e spuntini;[('albero da frutta', 54), ('Erbaceo', 40), ('agrume', 24)]
Tenuta Cucco;Langhe Chardonnay 2019;3,9;31 Voti;Italia·Langhe·Tenuta Cucco·Vino bianco·Chardonnay;€17,40;[('Leggero-Strutturato', '68.7833%'), ('Secco-Dolce', '31.172%'), ('Piatto-Acidulo', '35.3641%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 17), ('legno', 14), ('Erbaceo', 7)]
Paternoster;Vulcanico Falanghina 2020;3,8;34 Voti;Italia·Basilicata·Paternoster·Vino bianco·Falanghina;€12,10;[('Leggero-Strutturato', '56.9637%'), ('Secco-Dolce', '2.6213%'), ('Piatto-Acidulo', '37.625%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('albero da frutta', 47), ('agrume', 25), ('Erbaceo', 22)]
Cantine del Notaio;Il Preliminare 2019;3,9;104 Voti;Italia·Basilicata·Cantine del Notaio·Vino bianco·Miscela;€10,90;[('Leggero-Strutturato', '61.7937%'), ('Secco-Dolce', '9.53037%'), ('Piatto-Acidulo', '37.9719%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('nota tropicale', 33), ('agrume', 24), ('albero da frutta', 19)]
Valter Mattoni;Trebbien 2019;3,9;29 Voti;Italia·Marche·Valter Mattoni·Vino bianco·Trebbiano;€30;[('Leggero-Strutturato', '61.0731%'), ('Secco-Dolce', '16.1954%'), ('Piatto-Acidulo', '63.5958%')];Pasta / Vegetariano / Antipasti e spuntini;[('agrume', 6), ('albero da frutta', 4), ('frutti rossi', 2)]
Falkenstein;Riesling 2019;3,8;69 Voti;Italia·Südtirol - Alto Adige·Falkenstein·Vino bianco·Riesling;€18,40;[('Leggero-Strutturato', '60.4639%'), ('Secco-Dolce', '22.7214%'), ('Piatto-Acidulo', '56.1568%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('agrume', 110), ('albero da frutta', 104), ('Erbaceo', 102)]
Donnachiara;Greco di Tufo 2019;3,9;132 Voti;Italia·Greco di Tufo·Donnachiara·Vino bianco·Greco;€10,50;[('Leggero-Strutturato', '62.3264%'), ('Secco-Dolce', '0px'), ('Piatto-Acidulo', '35.7933%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('albero da frutta', 235), ('agrume', 183), ('Erbaceo', 144)]
Cantine di Marzo;Fiano di Avellino Classico 2019;3,9;32 Voti;Italia·Fiano de Avellino·Cantine di Marzo·Vino bianco·Fiano;€12,90;[('Leggero-Strutturato', '60.3685%'), ('Secco-Dolce', '18.9714%'), ('Piatto-Acidulo', '42.2083%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('agrume', 8), ('albero da frutta', 7), ('lieviti', 3)]
Jasci & Marchesani;Trebbiano d'Abruzzo 2019;3,9;28 Voti;Italia·Trebbiano d'Abruzzo·Jasci & Marchesani·Vino bianco·Trebbiano D'Abruzzo;€9;[('Leggero-Strutturato', '65.7296%'), ('Secco-Dolce', '1.58463%'), ('Piatto-Acidulo', '32.8327%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('Erbaceo', 11), ('albero da frutta', 11), ('lieviti', 3)]
Badia di Morrona;Felciaio 2020;3,8;34 Voti;Italia·Toscana·Badia di Morrona·Vino bianco·Vermentino;€8,21;[('Leggero-Strutturato', '49.3034%'), ('Secco-Dolce', '17.2131%'), ('Piatto-Acidulo', '68.4106%')];Pasta / Vegetariano / Antipasti e spuntini;[('agrume', 20), ('albero da frutta', 15), ('legno', 11)]
Brandini;Le Coccinelle Langhe Bianco 2017;3,8;162 Voti;Italia·Langhe·Brandini·Vino bianco·Arneis;€32,56;[('Leggero-Strutturato', '59.3353%'), ('Secco-Dolce', '20.3913%'), ('Piatto-Acidulo', '52.3458%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 24), ('agrume', 19), ('Erbaceo', 18)]
Colterenzio (Schreckbichl);Lafóa Sauvignon 2020;4,4;33 Voti;Italia·Südtirol - Alto Adige·Colterenzio (Schreckbichl)·Vino bianco·Sauvignon Blanc;€23,76;[('Leggero-Strutturato', '64.3272%'), ('Secco-Dolce', '23.2412%'), ('Piatto-Acidulo', '52.3842%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('agrume', 123), ('albero da frutta', 114), ('vegetale', 74)]
Emidio Pepe;Trebbiano d'Abruzzo 2015;4,1;774 Voti;Italia·Trebbiano d'Abruzzo·Emidio Pepe·Vino bianco·Trebbiano;€108;[('Leggero-Strutturato', '49.6489%'), ('Secco-Dolce', '25.5552%'), ('Piatto-Acidulo', '65.5468%')];Pasta / Vegetariano / Antipasti e spuntini;[('Erbaceo', 271), ('albero da frutta', 226), ('agrume', 150)]
La Tunella;Friulano 2019;3,9;64 Voti;Italia·Colli Orientali del Friuli·La Tunella·Vino bianco·Friulano;€14;[('Leggero-Strutturato', '59.8504%'), ('Secco-Dolce', '21.7548%'), ('Piatto-Acidulo', '44.6739%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 10), ('Erbaceo', 3), ('Invecchiamento', 3)]
Girolamo Russo;Nerina Etna Bianco 2019;3,9;143 Voti;Italia·Etna·Girolamo Russo·Vino bianco·Miscela;€29,90;[('Leggero-Strutturato', '61.7953%'), ('Secco-Dolce', '10.0216%'), ('Piatto-Acidulo', '36.9629%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('Erbaceo', 85), ('agrume', 66), ('albero da frutta', 57)]
A Mano;Fiano - Greco 2020;3,9;114 Voti;Italia·Salento·A Mano·Vino bianco·Miscela;€10,50;[('Leggero-Strutturato', '62.6026%'), ('Secco-Dolce', '13.4307%'), ('Piatto-Acidulo', '35.7182%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('albero da frutta', 55), ('agrume', 45), ('Erbaceo', 15)]
Tenuta Sant'Antonio;Télos Il Bianco Garganega - Chardonnay 2020;4,0;50 Voti;Italia·Veneto·Tenuta Sant'Antonio·Vino bianco·Miscela;€13,20;[('Leggero-Strutturato', '64.5778%'), ('Secco-Dolce', '23.1927%'), ('Piatto-Acidulo', '50.0223%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 67), ('nota tropicale', 61), ('agrume', 60)]
Castrum Morisci;003 Pecorino 2019;4,0;34 Voti;Italia·Falerio·Castrum Morisci·Vino bianco·Pecorino;€12,40;[('Leggero-Strutturato', '45.9176%'), ('Secco-Dolce', '10.8574%'), ('Piatto-Acidulo', '67.6427%')];Pasta / Vegetariano / Antipasti e spuntini;[('agrume', 2), ('Erbaceo', 1)]
Tenuta dell'Ugolino;Vigneto del Balluccio Verdicchio dei Castelli di Jesi Classico Superiore 2020;3,8;38 Voti;Italia·Verdicchio dei Castelli di Jesi·Tenuta dell'Ugolino·Vino bianco·Verdicchio;€16,90;[('Leggero-Strutturato', '49.603%'), ('Secco-Dolce', '17.6695%'), ('Piatto-Acidulo', '65.3925%')];Pasta / Vegetariano / Antipasti e spuntini;[('agrume', 9), ('legno', 4), ('albero da frutta', 3)]
Villa Raiano;Greco di Tufo 2020;3,8;106 Voti;Italia·Greco di Tufo·Villa Raiano·Vino bianco·Greco;€11,20;[('Leggero-Strutturato', '63.4067%'), ('Secco-Dolce', '10.228%'), ('Piatto-Acidulo', '37.7203%')];Frutti di mare / Vegetariano / Antipasti e spuntini;[('albero da frutta', 64), ('Erbaceo', 51), ('agrume', 32)]
La Lastra;Riserva Vernaccia di San Gimignano 2018;3,9;71 Voti;Italia·Vernaccia di San Gimignano·La Lastra·Vino bianco·Vernaccia;€18,90;[('Leggero-Strutturato', '42.1632%'), ('Secco-Dolce', '24.4761%'), ('Piatto-Acidulo', '63.836%')];Pasta / Vegetariano / Antipasti e spuntini;[('agrume', 20), ('albero da frutta', 17), ('Erbaceo', 9)]
Vigneti Boveri Giacomo;Muntà l’è Ruma Derthona 2017;4,1;30 Voti;Italia·Colli Tortonesi·Vigneti Boveri Giacomo·Vino bianco·Timorasso;€19,45;[('Leggero-Strutturato', '63.9781%'), ('Secco-Dolce', '17.4508%'), ('Piatto-Acidulo', '48.048%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('albero da frutta', 7), ('agrume', 5), ('Erbaceo', 4)]
Kuen Hof;Südtirol Eisacktaler Veltliner 2018;4,0;66 Voti;Italia·Südtirol - Alto Adige·Kuen Hof·Vino bianco·Grüner Veltliner;€18,59;[];na / na / na;[]
Vite Colte;Tra Donne Sole Piemonte 2020;3,9;135 Voti;Italia·Piemonte·Vite Colte·Vino bianco·Miscela;€9,90;[('Leggero-Strutturato', '60.5593%'), ('Secco-Dolce', '28.1011%'), ('Piatto-Acidulo', '50.4007%')];Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;[('agrume', 18), ('vegetale', 8), ('albero da frutta', 4)]
Terlan (Terlano);Pinot Bianco Riserva Vorberg 2009;4,3;208 Voti;Italia·Südtirol - Alto Adige·Terlan (Terlano)·Vino bianco·Weissburgunder;€143;[('Leggero-Strutturato', '45.6911%'), ('Secco-Dolce', '10.3121%'), ('Piatto-Acidulo', '57.2392%')];Pesce grasso (salmone, tonno, ecc.) / Frutti di mare / Formaggio dolce e a pasta molle;[('albero da frutta', 490), ('Erbaceo', 265), ('agrume', 178)]
